From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
31676	Q06697	reviewed	CDC73_YEAST	Cell division control protein 73 (RNA polymerase-associated protein CDC73)	CDC73 YLR418C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	393
34272	P89105	reviewed	CTR9_YEAST	RNA polymerase-associated protein CTR9 (Centromere-binding factor 1-dependent protein 1) (Cln three-requiring protein 9)	CTR9 CDP1 YOL145C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1077
34518	P38439	reviewed	LEO1_YEAST	RNA polymerase-associated protein LEO1	LEO1 YOR123C O3278 YOR3278C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	464
32973	P38351	reviewed	PAF1_YEAST	RNA polymerase II-associated protein 1 (Protein PAF1)	PAF1 YBR279W YBR2016	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	445
35097	Q04636	reviewed	POB3_YEAST	FACT complex subunit POB3 (Facilitates chromatin transcription complex subunit POB3)	POB3 YML069W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	552
32996	P53064	reviewed	RTF1_YEAST	RNA polymerase-associated protein RTF1	RTF1 CSL3 YGL244W HRA458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	558
33049	P32558	reviewed	SPT16_YEAST	FACT complex subunit SPT16 (Cell division control protein 68) (Facilitates chromatin transcription complex subunit SPT16) (Suppressor of Ty protein 16)	SPT16 CDC68 SSF1 YGL207W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1035
36917	P32657	reviewed	CHD1_YEAST	Chromo domain-containing protein 1 (EC 3.6.4.-) (ATP-dependent helicase CHD1)	CHD1 YER164W SYGP-ORF4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1468
34955	P15790	reviewed	CSK21_YEAST	Casein kinase II subunit alpha (CK II subunit alpha) (EC 2.7.11.1)	CKA1 YIL035C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	372
34460	P19454	reviewed	CSK22_YEAST	Casein kinase II subunit alpha' (CK II) (EC 2.7.11.1)	CKA2 YOR061W YOR29-12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	339
31837	Q12046	reviewed	CWC2_YEAST	Pre-mRNA-splicing factor CWC2 (Complexed with CEF1 protein 2) (PRP19-associated complex protein 40) (Synthetic lethal with CLF1 protein 3)	CWC2 NTC40 SLC3 YDL209C D1041	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	339
31683	Q06411	reviewed	SP382_YEAST	Pre-mRNA-splicing factor SPP382 (CLF1 complex factor 8) (Nineteen complex-related protein 1) (NTC-related protein 1) (Suppressor of PRP38 protein 2)	SPP382 CCF8 NTR1 YLR424W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	708
35594	P53854	reviewed	CWC25_YEAST	Pre-mRNA-splicing factor CWC25 (Complexed with CEF1 protein 25)	CWC25 YNL245C N0901	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	179
35002	P40568	reviewed	DSN1_YEAST	Kinetochore-associated protein DSN1	DSN1 YIR010W YIB10W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	576
35929	Q12143	reviewed	NSL1_YEAST	Kinetochore-associated protein NSL1	NSL1 YPL233W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	216
33666	P47026	reviewed	GWT1_YEAST	GPI-anchored wall transfer protein 1 (EC 2.3.-.-)	GWT1 YJL091C J0916	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	490
35703	P53919	reviewed	NAF1_YEAST	H/ACA ribonucleoprotein complex non-core subunit NAF1 (Nuclear assembly factor 1)	NAF1 YNL124W N1888	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	492
33683	P40359	reviewed	PSF2_YEAST	DNA replication complex GINS protein PSF2 (Partner of Sld five 2)	PSF2 YJL072C HRF213 J1086	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	213
31921	P04050	reviewed	RPB1_YEAST	DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit 1) (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase II subunit B220)	RPO21 RPB1 RPB220 SUA8 YDL140C D2150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1733
34967	P16370	reviewed	RPB3_YEAST	DNA-directed RNA polymerase II subunit RPB3 (RNA polymerase II subunit 3) (RNA polymerase II subunit B3) (B44.5) (DNA-directed RNA polymerase II 45 kDa polypeptide)	RPB3 YIL021W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	318
33438	P41895	reviewed	T2FA_YEAST	Transcription initiation factor IIF subunit alpha (TFIIF-alpha) (TFIIF large subunit) (Transcription factor G 105 kDa subunit) (P105)	TFG1 SSU71 YGR186W G7526	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	735
33249	P41896	reviewed	T2FB_YEAST	Transcription initiation factor IIF subunit beta (TFIIF medium subunit) (TFIIF-beta) (Transcription factor G 54 kDa subunit)	TFG2 YGR005C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	400
36052	P35189	reviewed	TAF14_YEAST	Transcription initiation factor TFIID subunit 14 (Actin non-complementing mutant 1) (Chromosome stability protein 10) (SWI/SNF chromatin-remodeling complex subunit TAF14) (SWI/SNF complex 29 kDa subunit) (SWI/SNF complex subunit TAF14) (TBP-associated factor 14) (TBP-associated factor 30 kDa) (Transcription factor G 30 kDa subunit) (Transcription initiation factor TFIIF 30 kDa subunit)	TAF14 ANC1 CST10 SWP29 TAF30 TFG3 YPL129W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244
35159	P27692	reviewed	SPT5_YEAST	Transcription elongation factor SPT5 (Chromatin elongation factor SPT5)	SPT5 YML010W YM9571.08	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1063
36116	Q02776	reviewed	TIM50_YEAST	Mitochondrial import inner membrane translocase subunit TIM50	TIM50 YPL063W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	476
32341	Q05541	reviewed	NSE3_YEAST	Non-structural maintenance of chromosome element 3 (Non-SMC element 3)	NSE3 YDR288W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	303
32422	Q06344	reviewed	ESF1_YEAST	Pre-rRNA-processing protein ESF1 (18S rRNA factor 1)	ESF1 YDR365C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	628
31151	P43587	reviewed	YPI1_YEAST	Type 1 phosphatases regulator YPI1	YPI1 YFR003C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	155
