geneId	geneName	leftEndPos	rightEndPos	strand	geneSynonyms	otherDbsGeneIds	productId	productName	productSynonyms	otherDbsProductsIds 
RDBECOLIGNC00001	alr	4265782	4266861	forward	alr5,EG10001	[ASKA:ECK4045+b4053+JW4013+alr][KEIO:ECK4045+b4053+JW4013+alr][STRING:511145.b4053][ASAP:ABE-0013272][ECHOBASE:EB0001][OU-MICROARRAY:b4053][CGSC:1034][ECOCYC:EG10001][REFSEQ:b4053]	RDBECOLIPDC00061	alanine racemase 1	Alr,alanine racemase 1, PLP-binding, biosynthetic,biosynthetic alanine racemase	[ALPHAFOLD:P0A6B4][PFAM:PF00842][PDB:2RJG][INTERPRO:IPR000821][SMR:P0A6B4][SMART:SM01005][PROSITE:PS00395][PRIDE:P0A6B4][PRINTS:PR00992][PRODB:PRO_000022086][ECOLIWIKI:b4053][MODBASE:P0A6B4][UNIPROT:P0A6B4][REFSEQ:NP_418477][ECOCYC:ALARACEBIOSYN-MONOMER] 
RDBECOLIGNC00002	modB	795862	796551	forward	chlJ,tslJ,EG10002	[ASKA:ECK0753+b0764+JW0747+modB][KEIO:ECK0753+b0764+JW0747+modB][STRING:511145.b0764][ASAP:ABE-0002603][ECHOBASE:EB0002][OU-MICROARRAY:b0764][CGSC:18478][ECOCYC:EG10002][REFSEQ:b0764]	RDBECOLIPDC03511	molybdate ABC transporter membrane subunit	TslJ,ChlJ	[ALPHAFOLD:P0AF01][INTERPRO:IPR000515][PFAM:PF00528][PRIDE:P0AF01][PROSITE:PS50928][PRODB:PRO_000023268][ECOLIWIKI:b0764][UNIPROT:P0AF01][REFSEQ:NP_415285][ECOCYC:MODB-MONOMER] 
RDBECOLIGNC00003	cysZ	2531463	2532224	forward	EG10003	[ASKA:ECK2408+b2413+JW2406+cysZ][KEIO:ECK2408+b2413+JW2406+cysZ][STRING:511145.b2413][ASAP:ABE-0007953][ECHOBASE:EB0003][OU-MICROARRAY:b2413][ECOCYC:EG10003][REFSEQ:b2413]	RDBECOLIPDC00374	sulfate:H<sup>+</sup> symporter	CysZ	[ALPHAFOLD:P0A6J3][PFAM:PF07264][PRIDE:P0A6J3][SMR:P0A6J3][INTERPRO:IPR022985][PRODB:PRO_000022390][ECOLIWIKI:b2413][UNIPROT:P0A6J3][REFSEQ:NP_416908][ECOCYC:EG10003-MONOMER] 
RDBECOLIGNC00004	dfp	3812731	3813951	forward	coaBC,EG10004	[ASKA:ECK3629+b3639+JW5642+dfp][STRING:511145.b3639][ASAP:ABE-0011896][ECHOBASE:EB0004][OU-MICROARRAY:b3639][CGSC:18430][ECOCYC:EG10004][REFSEQ:b3639]	RDBECOLIPDC00375	fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase	Dfp,CoaBC	[ALPHAFOLD:P0ABQ0][INTERPRO:IPR005252][PFAM:PF04127][SMR:P0ABQ0][DIP:DIP-48472N][PRIDE:P0ABQ0][PDB:1U80][PRODB:PRO_000022309][ECOLIWIKI:B3639][UNIPROT:P0ABQ0][REFSEQ:NP_418096][ECOCYC:EG10004-MONOMER] 
RDBECOLIGNC00005	dcuB	4347404	4348744	reverse	genF,EG10006	[ASKA:ECK4116+b4123+JW4084+dcuB][KEIO:ECK4116+b4123+JW4084+dcuB][STRING:511145.b4123][ASAP:ABE-0013503][ECHOBASE:EB0006][OU-MICROARRAY:b4123][CGSC:34479][ECOCYC:EG10006][REFSEQ:b4123]	RDBECOLIPDC00310	anaerobic C4-dicarboxylate transporter DcuB	GenF,DcuB	[ALPHAFOLD:P0ABN9][PANTHER:PTHR36106][PFAM:PF03605][INTERPRO:IPR004668][PRIDE:P0ABN9][PRODB:PRO_000022413][ECOLIWIKI:b4123][UNIPROT:P0ABN9][REFSEQ:NP_418547][ECOCYC:DCUB-MONOMER] 
RDBECOLIGNC00006	hisM	2424517	2425233	reverse	EG10007	[ASKA:ECK2301+b2307+JW2304+hisM][KEIO:ECK2301+b2307+JW2304+hisM][STRING:511145.b2307][ASAP:ABE-0007613][ECHOBASE:EB0007][OU-MICROARRAY:b2307][CGSC:25879][ECOCYC:EG10007][REFSEQ:b2307]	RDBECOLIPDC03373	lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM		[ALPHAFOLD:P0AEU3][INTERPRO:IPR010065][PFAM:PF00528][PRIDE:P0AEU3][SMR:P0AEU3][PROSITE:PS50928][PRODB:PRO_000022900][ECOLIWIKI:b2307][UNIPROT:P0AEU3][REFSEQ:NP_416810][ECOCYC:HISM-MONOMER] 
RDBECOLIGNC00007	zraS	4201926	4203323	forward	hydH,EG10008	[ASKA:ECK3995+b4003+JW3967+zraS][KEIO:ECK3995+b4003+JW3967+zraS][STRING:511145.b4003][ASAP:ABE-0013088][ECHOBASE:EB0008][OU-MICROARRAY:b4003][CGSC:34249][ECOCYC:EG10008][REFSEQ:b4003]	RDBECOLIPDC03400	sensor histidine kinase ZraS	HydH,ZraS	[ALPHAFOLD:P14377][REFSEQ:NP_418431][INTERPRO:IPR003594][PFAM:PF02518][SMR:P14377][DIP:DIP-9981N][SMART:SM00387][PROSITE:PS50109][PRIDE:P14377][PRINTS:PR00344][PRODB:PRO_000024257][ECOLIWIKI:b4003][MODBASE:P14377][UNIPROT:P14377][ECOCYC:HYDH-MONOMER] 
RDBECOLIGNC00008	rhsE	1527890	1529938	forward	EG10010	[ASKA:ECK1450+b1456+JW1451+rhsE][KEIO:ECK1450+b1456+JW1451+rhsE][ASAP:ABE-0004858][STRING:316407.1742368][ECHOBASE:EB0010][OU-MICROARRAY:b1456][CGSC:33720][ECOCYC:EG10010][REFSEQ:b1456]	RDBECOLIPDC00376	RhsE protein in rhs element	RhsE	[ALPHAFOLD:P24211][PFAM:PF03527][PRIDE:P24211][DIP:DIP-10703N][INTERPRO:IPR001826][MINT:MINT-1319693][PRINTS:PR00394][ECOLIWIKI:b1456][REFSEQ:NP_415973][UNIPROT:P24211][ECOCYC:EG10010-MONOMER] 
RDBECOLIGNC00009	yaaA	5683	6459	reverse	EG10011	[ASKA:ECK0006+b0006+JW0005+yaaA][KEIO:ECK0006+b0006+JW0005+yaaA][STRING:511145.b0006][ASAP:ABE-0000018][ECHOBASE:EB0011][OU-MICROARRAY:b0006][ECOCYC:EG10011][REFSEQ:b0006]	RDBECOLIPDC00377	DNA binding and peroxide stress response protein YaaA	YaaA	[ALPHAFOLD:P0A8I3][PANTHER:PTHR30283][PFAM:PF03883][SMR:P0A8I3][PDB:5CAJ][DIP:DIP-35783N][INTERPRO:IPR005583][PRIDE:P0A8I3][ECOLIWIKI:b0006][UNIPROT:P0A8I3][REFSEQ:NP_414547][ECOCYC:EG10011-MONOMER] 
RDBECOLIGNC00010	cydC	927474	929195	reverse	mdrA,mdrH,surB,ycaB,EG10012	[ASKA:ECK0877+b0886+JW0869+cydC][STRING:511145.b0886][ASAP:ABE-0003012][ECHOBASE:EB0012][OU-MICROARRAY:b0886][CGSC:17725][ECOCYC:EG10012][REFSEQ:b0886]	RDBECOLIPDC00283	heme ABC transporter subunit CydC	CydC,YcaB,SurB,MdrH,MdrA	[INTERPRO:IPR003593][ALPHAFOLD:P23886][PFAM:PF00005][SMR:P23886][DIP:DIP-9362N][SMART:SM00382][PROSITE:PS50929][PRIDE:P23886][PRODB:PRO_000022363][ECOLIWIKI:b0886][MODBASE:P23886][REFSEQ:NP_415406][UNIPROT:P23886][ECOCYC:CYDC-MONOMER] 
