string_protein_id	preferred_name	protein_size	annotation
511145.b0001	thrL	21	Thr operon leader peptide; This protein is involved in control of the biosynthesis of threonine.
511145.b0002	thrA	820	Bifunctional: aspartokinase I (N-terminal); homoserine dehydrogenase I (C-terminal); Protein involved in threonine biosynthetic process, methionine biosynthetic process and homoserine biosynthetic process.
511145.b0003	thrB	310	Homoserine kinase; Catalyzes the ATP-dependent phosphorylation of L-homoserine to L-homoserine phosphate. Is also able to phosphorylate the hydroxy group on gamma-carbon of L-homoserine analogs when the functional group at the alpha-position is a carboxyl, an ester, or even a hydroxymethyl group. Neither L-threonine nor L-serine are substrates of the enzyme.
511145.b0004	thrC	428	L-threonine synthase; Catalyzes the gamma-elimination of phosphate from L- phosphohomoserine and the beta-addition of water to produce L- threonine. To a lesser extent, is able to slowly catalyze the deamination of L-threonine into alpha-ketobutyrate and that of L-serine and 3-chloroalanine into pyruvate. Is also able to rapidly convert vinylglycine to threonine, which proves that the pyridoxal p-quinonoid of vinylglycine is an intermediate in the TS reaction.
511145.b0005	yaaX	98	DUF2502 family putative periplasmic protein; To E.coli YpeC.
511145.b0006	yaaA	258	Peroxide resistance protein, lowers intracellular iron; Involved in the cellular response to hydrogen peroxide (H(2)O(2)) stress. During H(2)O(2) stress, prevents oxidative damage to both DNA and proteins by diminishing the amount of unincorporated iron within the cell.
511145.b0007	yaaJ	476	Putative transporter; Inner membrane transport protein.
511145.b0008	talB	317	Transaldolase B; Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway.
511145.b0009	mog	195	Molybdochelatase incorporating molybdenum into molybdopterin; Catalyzes the adenylation of molybdopterin as part of the biosynthesis of the molybdenum-cofactor; Belongs to the MoaB/Mog family.
511145.b0010	satP	188	Succinate-acetate transporter; Uptake of acetate and succinate. Transport is energetically dependent on the protonmotive force.
511145.b0011	yaaW	237	UPF0174 family protein; Belongs to the UPF0174 family.
511145.b0013	yaaI	134	UPF0412 family protein; Belongs to the UPF0412 family.
511145.b0014	dnaK	638	Chaperone Hsp70, with co-chaperone DnaJ; Plays an essential role in the initiation of phage lambda DNA replication, where it acts in an ATP-dependent fashion with the DnaJ protein to release lambda O and P proteins from the preprimosomal complex. DnaK is also involved in chromosomal DNA replication, possibly through an analogous interaction with the DnaA protein. Also participates actively in the response to hyperosmotic shock.
511145.b0015	dnaJ	376	Chaperone Hsp40, DnaK co-chaperone; Interacts with DnaK and GrpE to disassemble a protein complex at the origins of replication of phage lambda and several plasmids. Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins and by disaggregating proteins, also in an autonomous, DnaK-independent fashion. Unfolded proteins bind initially to DnaJ; upon interaction with the DnaJ-bound protein, DnaK hydrolyzes its bound ATP, resulting in the formation of a stable complex. GrpE releases ADP from DnaK; ATP binding to DnaK t [...] 
511145.b0016	insL1	370	IS186 transposase; Involved in the transposition of the insertion sequence IS186.
511145.b0018	mokC	69	Regulatory protein for HokC, overlaps CDS of hokC; Might be the toxic component of a type I toxin-antitoxin (TA) system (By similarity). Regulatory peptide which completely overlaps hokC and enables hokC expression; Belongs to the Hok/Gef family.
511145.b0019	nhaA	388	Sodium-proton antiporter; Na(+)/H(+) antiporter that extrudes sodium in exchange for external protons. Catalyzes the exchange of 2 H(+) per Na(+). Can mediate sodium uptake when a transmembrane pH gradient is applied. Active at alkaline pH. Activity is strongly down-regulated below pH 6.5; Belongs to the NhaA Na(+)/H(+) (TC 2.A.33) antiporter family.
511145.b0020	nhaR	301	Transcriptional activator of nhaA; Plays a role in the positive regulation of NhaA. Belongs to the LysR transcriptional regulatory family.
511145.b0021	insB1	167	IS1 transposase B; Absolutely required for transposition of IS1.
511145.b0022	insA	91	IS1 repressor TnpA; Absolutely required for transposition of IS1.
511145.b0023	rpsT	87	30S ribosomal subunit protein S20; Binds directly to 16S ribosomal RNA.
511145.b0024	yaaY	72	Uncharacterized protein.
511145.b0025	ribF	313	Bifunctional riboflavin kinase/FAD synthetase; Catalyzes the phosphorylation of riboflavin to FMN followed by the adenylation of FMN to FAD; Belongs to the RibF family.
