"uniprot","qualifier","go_term","name","locus"
"P36430",NA,"GO:0004823","Leucine--tRNA ligase","BSU_30320"
"P36430",NA,"GO:0005829","Leucine--tRNA ligase","BSU_30320"
"P36430",NA,"GO:0006429","Leucine--tRNA ligase","BSU_30320"
"P36946",NA,"GO:0016866","D-ribose pyranase","BSU_35930"
"P36946",NA,"GO:0005829","D-ribose pyranase","BSU_35930"
"P36946",NA,"GO:0019303","D-ribose pyranase","BSU_35930"
"P36945",NA,"GO:0005829","Ribokinase","BSU_35920"
"P36944",NA,"GO:0006355","Ribose operon repressor","BSU_35910"
"P36944",NA,"GO:0003700","Ribose operon repressor","BSU_35910"
"P36944",NA,"GO:0000976","Ribose operon repressor","BSU_35910"
"P36843",NA,"GO:0004042","Arginine biosynthesis bifunctional protein ArgJ","BSU_11200"
"P36843",NA,"GO:0006592","Arginine biosynthesis bifunctional protein ArgJ","BSU_11200"
"P36839",NA,"GO:0042802","Acetylornithine aminotransferase","BSU_11220"
"P36839",NA,"GO:0030170","Acetylornithine aminotransferase","BSU_11220"
"P36838",NA,"GO:0006526","Carbamoyl-phosphate synthase arginine-specific small chain","BSU_11230"
"P36838","contributes_to","GO:0004088","Carbamoyl-phosphate synthase arginine-specific small chain","BSU_11230"
"P36838",NA,"GO:0005951","Carbamoyl-phosphate synthase arginine-specific small chain","BSU_11230"
"P36838",NA,"GO:0005737","Carbamoyl-phosphate synthase arginine-specific small chain","BSU_11230"
"P37963",NA,"GO:0008932","Stage VI sporulation protein D","BSU_28110"
"P37956",NA,"GO:0003913","Spore photoproduct lyase","BSU_13930"
"P37956",NA,"GO:0042601","Spore photoproduct lyase","BSU_13930"
"P37956",NA,"GO:1904047","Spore photoproduct lyase","BSU_13930"
"P37956",NA,"GO:0051539","Spore photoproduct lyase","BSU_13930"
"P37949",NA,"GO:0045727","Elongation factor 4","BSU_25510"
"P37949",NA,"GO:0043022","Elongation factor 4","BSU_25510"
"P37948",NA,"GO:0005886","Glycerol-3-phosphate transporter","BSU_02140"
"P37948",NA,"GO:0015760","Glycerol-3-phosphate transporter","BSU_02140"
"P37948",NA,"GO:0035435","Glycerol-3-phosphate transporter","BSU_02140"
"P37948",NA,"GO:0061513","Glycerol-3-phosphate transporter","BSU_02140"
"P37947",NA,"GO:0006355","HTH-type transcriptional regulator DegA","BSU_10840"
"P37947",NA,"GO:0003700","HTH-type transcriptional regulator DegA","BSU_10840"
"P37947",NA,"GO:0000976","HTH-type transcriptional regulator DegA","BSU_10840"
"P37946",NA,"GO:0006565","L-threonine dehydratase biosynthetic IlvA","BSU_21770"
"P37946",NA,"GO:0003941","L-threonine dehydratase biosynthetic IlvA","BSU_21770"
"P37946",NA,"GO:0006567","L-threonine dehydratase biosynthetic IlvA","BSU_21770"
"P37946",NA,"GO:0004794","L-threonine dehydratase biosynthetic IlvA","BSU_21770"
"P37946",NA,"GO:0009097","L-threonine dehydratase biosynthetic IlvA","BSU_21770"
"P37944",NA,"GO:0004765","Shikimate kinase","BSU_03150"
"P37944",NA,"GO:0005829","Shikimate kinase","BSU_03150"
"P37942",NA,"GO:0004149","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex","BSU_24030"
"P37942",NA,"GO:0006099","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex","BSU_24030"
"P37942",NA,"GO:0005829","Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex","BSU_24030"
"P37941",NA,"GO:0007584","2-oxoisovalerate dehydrogenase subunit beta","BSU_24040"
"P37941",NA,"GO:0009083","2-oxoisovalerate dehydrogenase subunit beta","BSU_24040"
"P37940",NA,"GO:0009083","2-oxoisovalerate dehydrogenase subunit alpha","BSU_24050"
"P37887",NA,"GO:0004124","Cysteine synthase","BSU_00730"
"P37887",NA,"GO:0006535","Cysteine synthase","BSU_00730"
"P37887",NA,"GO:0080146","Cysteine synthase","BSU_00730"
"P37887",NA,"GO:0005737","Cysteine synthase","BSU_00730"
"P37878",NA,"GO:0008725","DNA-3-methyladenine glycosylase","BSU_01800"
"P37878",NA,"GO:0006285","DNA-3-methyladenine glycosylase","BSU_01800"
"P37878",NA,"GO:0032993","DNA-3-methyladenine glycosylase","BSU_01800"
"P37878",NA,"GO:0032131","DNA-3-methyladenine glycosylase","BSU_01800"
"P37878",NA,"GO:0043916","DNA-3-methyladenine glycosylase","BSU_01800"
"P37878",NA,"GO:0005737","DNA-3-methyladenine glycosylase","BSU_01800"
"P37878",NA,"GO:0006307","DNA-3-methyladenine glycosylase","BSU_01800"
"P37877",NA,"GO:0006083","Acetate kinase","BSU_29470"
"P37877",NA,"GO:0008776","Acetate kinase","BSU_29470"
"P37869",NA,"GO:0004634","Enolase","BSU_33900"
"P37869",NA,"GO:0000015","Enolase","BSU_33900"
"P37869",NA,"GO:0006096","Enolase","BSU_33900"
"P37815",NA,"GO:0015986","ATP synthase subunit c","BSU_36860"
"P37815",NA,"GO:0045263","ATP synthase subunit c","BSU_36860"
"P37814",NA,"GO:0045263","ATP synthase subunit b","BSU_36850"
"P37814","contributes_to","GO:0046961","ATP synthase subunit b","BSU_36850"
"P37813",NA,"GO:0045263","ATP synthase subunit a","BSU_36870"
"P37813",NA,"GO:0042777","ATP synthase subunit a","BSU_36870"
"P37813",NA,"GO:0046933","ATP synthase subunit a","BSU_36870"
"P37812",NA,"GO:0045261","ATP synthase epsilon chain","BSU_36800"
"P37812","contributes_to","GO:0046933","ATP synthase epsilon chain","BSU_36800"
"P37812",NA,"GO:0015986","ATP synthase epsilon chain","BSU_36800"
"P37811",NA,"GO:0045261","ATP synthase subunit delta","BSU_36840"
"P37811",NA,"GO:0015986","ATP synthase subunit delta","BSU_36840"
"P37811","contributes_to","GO:0046933","ATP synthase subunit delta","BSU_36840"
"P37810",NA,"GO:0015986","ATP synthase gamma chain","BSU_36820"
"P37810","contributes_to","GO:0046933","ATP synthase gamma chain","BSU_36820"
"P37810",NA,"GO:0045261","ATP synthase gamma chain","BSU_36820"
"P37809","contributes_to","GO:0046933","ATP synthase subunit beta","BSU_36810"
"P37809",NA,"GO:0045261","ATP synthase subunit beta","BSU_36810"
"P37585",NA,"GO:0016757","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","BSU_15220"
"P37580",NA,"GO:0030288","Iron(3+)-hydroxamate-binding protein FhuD","BSU_33320"
"P37573",NA,"GO:0004016","DNA integrity scanning protein DisA","BSU_00880"
"P37572",NA,"GO:0000725","DNA repair protein RadA","BSU_00870"
"P37570",NA,"GO:0016301","Protein-arginine kinase","BSU_00850"
"P37569",NA,"GO:1990169","Protein-arginine kinase activator protein","BSU_00840"
"P37569",NA,"GO:0046870","Protein-arginine kinase activator protein","BSU_00840"
"P37569",NA,"GO:0005507","Protein-arginine kinase activator protein","BSU_00840"
"P37569",NA,"GO:1990170","Protein-arginine kinase activator protein","BSU_00840"
"P37569",NA,"GO:0050897","Protein-arginine kinase activator protein","BSU_00840"
"P37569",NA,"GO:0008270","Protein-arginine kinase activator protein","BSU_00840"
"P37565",NA,"GO:0044183","33 kDa chaperonin","BSU_00710"
"P37565",NA,"GO:0042026","33 kDa chaperonin","BSU_00710"
"P37565",NA,"GO:0005737","33 kDa chaperonin","BSU_00710"
"P37556",NA,"GO:0006203","Uncharacterized protein YabN","BSU_00580"
"P37556",NA,"GO:0046081","Uncharacterized protein YabN","BSU_00580"
"P37556",NA,"GO:0046076","Uncharacterized protein YabN","BSU_00580"
"P37556",NA,"GO:0047429","Uncharacterized protein YabN","BSU_00580"
"P37556",NA,"GO:0046052","Uncharacterized protein YabN","BSU_00580"
"P37556",NA,"GO:0046047","Uncharacterized protein YabN","BSU_00580"
"P37556",NA,"GO:0046061","Uncharacterized protein YabN","BSU_00580"
"P37552",NA,"GO:0005829","2-iminobutanoate/2-iminopropanoate deaminase","BSU_00480"
"P37552",NA,"GO:1901565","2-iminobutanoate/2-iminopropanoate deaminase","BSU_00480"
"P37552",NA,"GO:0019239","2-iminobutanoate/2-iminopropanoate deaminase","BSU_00480"
"P37547",NA,"GO:0006364","Ribonuclease M5","BSU_00410"
"P37547",NA,"GO:0043822","Ribonuclease M5","BSU_00410"
"P37545",NA,"GO:0005829","Uncharacterized metal-dependent hydrolase YabD","BSU_00390"
"P37540",NA,"GO:0006261","DNA polymerase III subunit delta'","BSU_00310"
"P37531",NA,"GO:0070492","Cortical fragment-lytic enzyme","BSU_00160"
"P37531",NA,"GO:0012505","Cortical fragment-lytic enzyme","BSU_00160"
"P37530",NA,"GO:0019136","Deoxyguanosine kinase","BSU_00150"
"P37530",NA,"GO:0005737","Deoxyguanosine kinase","BSU_00150"
"P37529",NA,"GO:0005737","Deoxyadenosine/deoxycytidine kinase","BSU_00140"
"P37529",NA,"GO:0019136","Deoxyadenosine/deoxycytidine kinase","BSU_00140"
