InteractionId	Interaction_type	Interaction_subtype	Citation	Interactor1	commonName1	Role1	Interactor2	commonName2	Role2	interactor1_uniprot_id	interactor1_name	interactor2_uniprot_id	interactor2_name	source
WBInteraction000052662	Physical	ProteinRNA	Tenlen JR et al. (2006) Genetics Reduced dosage of pos-1 suppresses Mex mutants and reveals complex interactions ....	WBGene00003231	mex-6	Bait	WBGene00004078	pos-1	Target	Q09436	mex-6	G5EF15	pos-1	wormbase
WBInteraction000052741	Physical	ProteinProtein	Choe K et al. (2007) Am J Physiol Cell Physiol Evolutionarily conserved WNK and Ste20 kinases are essential for acute volume ....	WBGene00006941	wnk-1	Non_directional	WBGene00013355	gck-3	Non_directional	X5M5N0	wnk-1	G5EEN4	gck-3	wormbase
WBInteraction000052760	Physical	ProteinProtein	Bellanger JM et al. (2007) J Cell Sci ZYG-9, TAC-1 and ZYG-8 together ensure correct microtubule function throughout ....	WBGene00006381	tac-1	Non_directional	WBGene00006994	zyg-9	Non_directional	G5ECG0	tac-1	G5EEM5	zyg-9	wormbase
WBInteraction000052769	Physical	ProteinProtein	Xia D et al. (2007) Dev Biol The C. elegans CBFbeta homolog, BRO-1, regulates the proliferation, ....	WBGene00000272	bro-1	Non_directional	WBGene00004393	rnt-1	Non_directional	Q95ZL9	bro-1	G5EFQ5	rnt-1	wormbase
WBInteraction000500084	Physical	ProteinProtein	Tennessen JM et al. (2010) Development The C. elegans developmental timing protein LIN-42 regulates diapause in ....	WBGene00018572	lin-42	Non_directional	WBGene00000908	daf-12	Non_directional	Q65ZG8	lin-42	G5EFF5	daf-12	wormbase
WBInteraction000500225	Physical	ProteinProtein	Kidd AR et al. (2005) Cell A beta-catenin identified by functional rather than sequence criteria and its ....	WBGene00004077	pop-1	Bait	WBGene00006379	sys-1	Target	Q10666	pop-1	Q9XVI2	sys-1	wormbase
WBInteraction000505220	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000238	bar-1	Bait	WBGene00016600	ets-5	Target	Q18825	bar-1	Q18579	ets-5	wormbase
WBInteraction000505221	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000238	bar-1	Bait	WBGene00003701	nhr-111	Target	Q18825	bar-1	O45521	nhr-111	wormbase
WBInteraction000505222	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000238	bar-1	Bait	WBGene00018833	ztf-1	Target	Q18825	bar-1	P34450	ztf-1	wormbase
WBInteraction000505238	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000437	ceh-13	Bait	WBGene00001249	elt-1	Target	P17488	ceh-13	P28515	elt-1	wormbase
WBInteraction000505239	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000437	ceh-13	Bait	WBGene00001250	elt-2	Target	P17488	ceh-13	Q10655	elt-2	wormbase
WBInteraction000505240	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000437	ceh-13	Bait	WBGene00001251	elt-3	Target	P17488	ceh-13	B7WN96	elt-3	wormbase
WBInteraction000505243	Physical	ProteinDNA	Deplancke B et al. (2006) Cell A gene-centered C. elegans protein-DNA interaction network.	WBGene00000437	ceh-13	Bait	WBGene00018833	ztf-1	Target	P17488	ceh-13	P34450	ztf-1	wormbase
