From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
WBGene00002299	P24348	reviewed	LET23_CAEEL	Receptor tyrosine-protein kinase let-23 (EC 2.7.10.1) (Lethal protein 23)	let-23 kin-7 ZK1067.1	Caenorhabditis elegans	1323
WBGene00003231	Q09436	reviewed	MEX6_CAEEL	Zinc finger protein mex-6	mex-6 AH6.5	Caenorhabditis elegans	467
WBGene00006941	X5M5N0	reviewed	WNK_CAEEL	Serine/threonine-protein kinase WNK (EC 2.7.11.1) (Protein kinase with no lysine 1)	wnk-1 C46C2.1	Caenorhabditis elegans	1850
WBGene00006381	G5ECG0	reviewed	TACC1_CAEEL	Transforming acid coiled-coil-containing protein 1	tac-1 2P40 Y54E2A.3	Caenorhabditis elegans	260
WBGene00000272	Q95ZL9	reviewed	PEBB_CAEEL	Core-binding factor subunit beta homolog bro-1 (BROther (Drosophila tx factor partner) homolog)	bro-1 F56A3.5	Caenorhabditis elegans	152
WBGene00022051	Q9BKQ5	reviewed	REP1_CAEEL	Rab proteins geranylgeranyltransferase component A 1 (Rab escort protein 1) (TCD protein)	rep-1 Y67D2.1	Caenorhabditis elegans	510
WBGene00018572	Q65ZG8	reviewed	PER_CAEEL	Period protein homolog lin-42 (Abnormal cell lineage protein 42)	lin-42 F47F6.1	Caenorhabditis elegans	597
WBGene00004077	Q10666	reviewed	POP1_CAEEL	Protein pop-1 (Posterior pharynx defect protein 1) (TCF transcription factor pop-1)	pop-1 W10C8.2	Caenorhabditis elegans	438
WBGene00000238	Q18825	reviewed	BAR1_CAEEL	Beta-catenin/armadillo-related protein 1 (Protruding vulva protein 1) (Suppressor of polyray 1)	bar-1 pvl-1 spy-1 C54D1.6	Caenorhabditis elegans	811
WBGene00016273	Q09255	reviewed	YQB1_CAEEL	Uncharacterized protein C30G12.1	C30G12.1	Caenorhabditis elegans	453
WBGene00000437	P17488	reviewed	HM13_CAEEL	Homeobox protein ceh-13	ceh-13 R13A5.5	Caenorhabditis elegans	202
WBGene00000429	G5ECT8	reviewed	HM02_CAEEL	Homeobox protein ceh-2	ceh-2 C27A12.5	Caenorhabditis elegans	209
WBGene00000447	Q9NLC2	reviewed	HM24_CAEEL	Homeobox protein ceh-24	ceh-24 F55B12.1	Caenorhabditis elegans	299
WBGene00000430	P20269	reviewed	HM05_CAEEL	Homeobox protein ceh-5	ceh-5 C16C2.1	Caenorhabditis elegans	134
WBGene00000912	O16850	reviewed	FOXO_CAEEL	Forkhead box protein O (FOXO) (Abnormal dauer formation protein 16)	daf-16 R13H8.1	Caenorhabditis elegans	541
WBGene00000914	Q09555	reviewed	DAF19_CAEEL	RFX-like transcription factor daf-19 (Abnormal dauer formation protein 19)	daf-19 F33H1.1	Caenorhabditis elegans	805
WBGene00000899	Q95QI7	reviewed	DAF3_CAEEL	Smad protein daf-3 (Abnormal dauer formation protein 3)	daf-3 F25E2.5	Caenorhabditis elegans	892
WBGene00001210	G5EFY4	reviewed	EGL46_CAEEL	Transcription factor egl-46 (Egg-laying defective protein 46)	egl-46 K11G9.4	Caenorhabditis elegans	286
WBGene00001244	Q20303	reviewed	ELO6_CAEEL	Long chain fatty acid elongase 6 (ELO-6) (EC 2.3.1.-) (3-keto acyl-CoA synthase elo-6) (Elongation of long chain fatty acids protein 6) (Long-chain 3-oxoacyl-CoA synthase 6) (CEELO6) (Monomethyl branched-chain fatty acid elongase 6) (mmBCFA elongase 6)	elo-6 F41H10.8	Caenorhabditis elegans	274
WBGene00001249	P28515	reviewed	ELT1_CAEEL	Transcription factor elt-1	elt-1 W09C2.1	Caenorhabditis elegans	416
WBGene00001252	Q8MQA7	reviewed	ELT4_CAEEL	Probable transcription factor elt-4 (GATA-type domain-containing protein elt-4)	elt-4 C39B10.6	Caenorhabditis elegans	72
WBGene00001259	P34703	reviewed	SPT6H_CAEEL	Suppressor of Ty 6 homolog (Abnormal embryogenesis protein 5)	emb-5 T04A8.14	Caenorhabditis elegans	1521
WBGene00017687	A8WFJ9	reviewed	ETS4_CAEEL	Transcription factor ets-4	ets-4 F22A3.1	Caenorhabditis elegans	437
WBGene00001397	G5ED44	reviewed	FAT5_CAEEL	Delta(9)-fatty-acid desaturase fat-5 (EC 1.14.19.-) (Fatty acid desaturase 5) (FAT-5) (Palmitoyl-CoA fatty acid desaturase)	fat-5 W06D12.3	Caenorhabditis elegans	333
WBGene00001578	Q04457	reviewed	EST1_CAEEL	Gut esterase 1 (EC 3.1.1.1) (Non-specific carboxylesterase)	ges-1 R12A1.4	Caenorhabditis elegans	562
WBGene00001952	Q10007	reviewed	HLH6_CAEEL	Helix-loop-helix protein 6	hlh-6 T15H9.3	Caenorhabditis elegans	268
WBGene00002128	Q9U3N4	reviewed	INX6_CAEEL	Innexin-6 (Protein opu-6)	inx-6 opu-6 C36H8.2	Caenorhabditis elegans	389
WBGene00003015	G5EGB2	reviewed	LIN29_CAEEL	Zinc finger transcription factor lin-29 (abnormal cell lineage 29)	lin-29 lin-29b W03C9.4	Caenorhabditis elegans	459
WBGene00003033	G5EDU6	reviewed	OVOLH_CAEEL	Transcription factor ovo-like homolog lin-48 (Abnormal cell lineage protein 48)	lin-48 F34D10.5	Caenorhabditis elegans	280
WBGene00003048	Q9U9Y8	reviewed	NLK_CAEEL	Serine/threonine kinase NLK (EC 2.7.11.24) (Loss of intestine protein 1) (Nemo-like kinase)	lit-1 nlk W06F12.1	Caenorhabditis elegans	634
WBGene00003114	G5ECK3	reviewed	MAB23_CAEEL	DM domain-containing protein mab-23	mab-23 C32C4.5	Caenorhabditis elegans	175
WBGene00003163	G5EG44	reviewed	MDL1_CAEEL	Mad-like protein 1	mdl-1 R03E9.1	Caenorhabditis elegans	281
WBGene00003621	Q09587	reviewed	NHR22_CAEEL	Nuclear hormone receptor family member nhr-22	nhr-22 K06A1.4	Caenorhabditis elegans	579
WBGene00003624	Q17905	reviewed	NHR28_CAEEL	Nuclear hormone receptor family member nhr-28	nhr-28 C11G6.4	Caenorhabditis elegans	437
WBGene00003658	Q9XXM8	reviewed	NHR68_CAEEL	Nuclear hormone receptor family member nhr-68	nhr-68 H12C20.3	Caenorhabditis elegans	385
WBGene00003968	A0A5S9MMK5	reviewed	FPEB1_CAEEL	FLYWCH-type zinc finger-containing protein peb-1 (Pharyngeal enhancer binding protein peb-1)	peb-1 T14F9.4	Caenorhabditis elegans	443
WBGene00004078	G5EF15	reviewed	POS1_CAEEL	RNA-binding protein pos-1 (Posterior segregation protein pos-1) (Zinc-finger protein pos-1)	pos-1 F52E1.1	Caenorhabditis elegans	264
WBGene00011069	Q09602	reviewed	CEH62_CAEEL	Homeobox protein ceh-62	ceh-62 R06F6.6	Caenorhabditis elegans	416
WBGene00004393	G5EFQ5	reviewed	RUNX1_CAEEL	Runt-related transcription factor rnt-1	rnt-1 mab-2 run-1 B0414.2	Caenorhabditis elegans	301
WBGene00004857	P45896	reviewed	SMA3_CAEEL	Dwarfin sma-3 (MAD protein homolog 2)	sma-3 cem-2 R13F6.9	Caenorhabditis elegans	393
WBGene00011963	Q03607	reviewed	YN03_CAEEL	Uncharacterized protein T23G5.3	T23G5.3	Caenorhabditis elegans	262
WBGene00006604	P34708	reviewed	TRA1_CAEEL	Sex-determining transformer protein 1 (Hermaphrodization of XO animals protein 2)	tra-1 her-2 Y47D3A.6	Caenorhabditis elegans	1110
WBGene00012626	Q9XX47	reviewed	F161_CAEEL	Protein fam-161	famh-161 fam-161 Y38H6C.14	Caenorhabditis elegans	814
WBGene00006970	G5EBU4	reviewed	ZAG1_CAEEL	Zinc finger E-box-binding homeobox protein zag-1 (Zinc finger involved in axon guidance 1) (ZAG-1)	zag-1 F28F9.1	Caenorhabditis elegans	596
WBGene00000435	P41935	reviewed	HM10_CAEEL	Homeobox protein ceh-10	ceh-10 W03A3.1	Caenorhabditis elegans	344
WBGene00000438	P20271	reviewed	HM14_CAEEL	LIM/homeobox protein ceh-14 (Homeobox protein ceh-14)	ceh-14 F46C8.5	Caenorhabditis elegans	351
WBGene00000446	P34663	reviewed	HM23_CAEEL	Homeobox protein ceh-23	ceh-23 ZK652.5	Caenorhabditis elegans	305
WBGene00000457	Q93352	reviewed	HM36_CAEEL	Homeobox protein ceh-36	ceh-36 C37E2.4	Caenorhabditis elegans	257
WBGene00000463	Q18273	reviewed	HM43_CAEEL	Homeobox protein ceh-43	ceh-43 dopy-2 C28A5.4	Caenorhabditis elegans	273
WBGene00000483	Q966L8	reviewed	CHE1_CAEEL	Transcription factor che-1 (Abnormal chemotaxis protein 1)	che-1 C55B7.12	Caenorhabditis elegans	279
WBGene00001207	Q22024	reviewed	EGL43_CAEEL	Zinc finger protein egl-43 (Egg-laying defective protein 43)	egl-43 R53.3	Caenorhabditis elegans	543
WBGene00002987	G5EEA1	reviewed	LIM4_CAEEL	LIM/homeobox protein lim-4	lim-4 ZC64.4	Caenorhabditis elegans	355
WBGene00003182	Q9U325	reviewed	MEF2_CAEEL	MEF2 transcription factor homolog	mef-2 CeMef-2 W10D5.1	Caenorhabditis elegans	340
WBGene00003605	P41829	reviewed	NHR6_CAEEL	Nuclear hormone receptor family member nhr-6 (Nuclear receptor subfamily 4 group A member 5) (Steroid hormone receptor family member cnr8)	nhr-6 cnr-8 nr4a5 C48D5.1	Caenorhabditis elegans	619
WBGene00006543	Q19691	reviewed	TBX2_CAEEL	T-box protein 2	tbx-2 F21H11.3	Caenorhabditis elegans	423
WBGene00006766	P52906	reviewed	UNC30_CAEEL	Homeobox protein unc-30 (Uncoordinated protein 30)	unc-30 B0564.10	Caenorhabditis elegans	323
WBGene00006773	O02482	reviewed	UNC37_CAEEL	Transcription factor unc-37 (Uncoordinated protein 37)	unc-37 esg W02D3.9	Caenorhabditis elegans	612
WBGene00006778	L8E946	reviewed	UNC42_CAEEL	Homeobox protein unc-42 (Uncoordinated protein 42)	unc-42 F58E6.10	Caenorhabditis elegans	279
WBGene00006796	Q9N5D6	reviewed	UNC62_CAEEL	Homeobox protein unc-62 (Uncoordinated protein 62)	unc-62 T28F12.2	Caenorhabditis elegans	564
WBGene00006818	P13528	reviewed	UNC86_CAEEL	Transcription factor unc-86 (Uncoordinated protein 86)	unc-86 C30A5.7	Caenorhabditis elegans	357
WBGene00011181	Q21882	reviewed	HIUH1_CAEEL	Probable 5-hydroxyisourate hydrolase R09H10.3 (HIU hydrolase) (HIUHase) (EC 3.5.2.17) (Transthyretin-like protein R09H10.3)	R09H10.3	Caenorhabditis elegans	135
WBGene00007022	Q23679	reviewed	MED22_CAEEL	Mediator of RNA polymerase II transcription subunit 22 (Mediator complex subunit 22)	mdt-22 ZK970.3	Caenorhabditis elegans	157
WBGene00022000	Q9N2K7	reviewed	TBX30_CAEEL	Putative T-box protein 30/42	tbx-30 Y59E9AR.3; tbx-42 Y59E9AR.5	Caenorhabditis elegans	308
WBGene00011579	Q22306	reviewed	YW12_CAEEL	UPF0046 protein T07D4.2	T07D4.2	Caenorhabditis elegans	396
WBGene00006514	D0VWM8	reviewed	TADBP_CAEEL	Tar DNA-binding protein homolog 1	tdp-1 F44G4.4	Caenorhabditis elegans	414
WBGene00015116	Q10457	reviewed	PUR6_CAEEL	Probable multifunctional protein ADE2 [Includes: Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase); Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC)]	pacs-1 B0286.3	Caenorhabditis elegans	423
WBGene00000461	Q19503	reviewed	HM40_CAEEL	Homeobox protein ceh-40	ceh-40 F17A2.5	Caenorhabditis elegans	329
WBGene00003632	O76828	reviewed	NHR42_CAEEL	Nuclear hormone receptor family member nhr-42	nhr-42 C33G8.6	Caenorhabditis elegans	356
WBGene00003185	Q21307	reviewed	MEK1_CAEEL	Dual specificity mitogen-activated protein kinase kinase mek-1 (EC 2.7.12.2)	mek-1 K08A8.1	Caenorhabditis elegans	347
WBGene00004758	G5EDF7	reviewed	SEK1_CAEEL	Dual specificity mitogen-activated protein kinase kinase sek-1 (MAP kinase kinase sek-1) (EC 2.7.12.2)	sek-1 R03G5.2	Caenorhabditis elegans	336
WBGene00003401	P39745	reviewed	MPK1_CAEEL	Mitogen-activated protein kinase mpk-1 (EC 2.7.11.24) (MAP kinase sur-1)	mpk-1 sur-1 F43C1.2	Caenorhabditis elegans	444
WBGene00001051	Q17868	reviewed	CKS1_CAEEL	Cyclin-dependent kinases regulatory subunit	cks-1 dom-6 C09G4.3	Caenorhabditis elegans	94
WBGene00006728	P49632	reviewed	RL40_CAEEL	Ubiquitin-ribosomal protein eL40 fusion protein (CEP52) [Cleaved into: Ubiquitin; Large ribosomal subunit protein eL40 (60S ribosomal protein L40)]	ubq-2 ubib ZK1010.1	Caenorhabditis elegans	128
WBGene00002216	P45962	reviewed	KLP3_CAEEL	Kinesin-like protein klp-3	klp-3 T09A5.2	Caenorhabditis elegans	598
WBGene00001281	G5EG38	reviewed	CDC16_CAEEL	Cell division cycle protein 16 homolog (Abnormal embryogenesis protein 27) (Anaphase-promoting complex subunit 6) (APC6)	emb-27 apc-6 pod-6 F10B5.6	Caenorhabditis elegans	655
WBGene00002074	Q19969	reviewed	IMA3_CAEEL	Importin subunit alpha-3 (Karyopherin subunit alpha-3)	ima-3 F32E10.4	Caenorhabditis elegans	514
WBGene00000145	Q20052	reviewed	APC11_CAEEL	Anaphase-promoting complex subunit 11 (APC11)	apc-11 F35G12.9	Caenorhabditis elegans	135
WBGene00000155	O44750	reviewed	XPP_CAEEL	Xaa-Pro aminopeptidase app-1 (EC 3.4.11.9) (Aminopeptidase P)	app-1 W03G9.4	Caenorhabditis elegans	616
