From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
WBGene00003892	Q9XW70	reviewed	BBS7_CAEEL	Bardet-Biedl syndrome 7 protein homolog (Osmotic avoidance abnormal protein 12)	osm-12 bbs-7 Y75B8A.12	Caenorhabditis elegans	721
WBGene00003100	O18214	reviewed	MAB3_CAEEL	Protein male abnormal 3	mab-3 Y53C12B.5	Caenorhabditis elegans	290
WBGene00011480	Q22235	reviewed	ENPL1_CAEEL	Endoplasmin homolog	enpl-1 T05E11.3	Caenorhabditis elegans	760
WBGene00008572	Q19191	reviewed	YZ10_CAEEL	Uncharacterized protein F08B12.4	F08B12.4	Caenorhabditis elegans	102
WBGene00003851	Q8I7F8	reviewed	ODR4_CAEEL	Odorant response abnormal protein 4	odr-4 Y102E9.1	Caenorhabditis elegans	475
WBGene00003033	G5EDU6	reviewed	OVOLH_CAEEL	Transcription factor ovo-like homolog lin-48 (Abnormal cell lineage protein 48)	lin-48 F34D10.5	Caenorhabditis elegans	280
WBGene00004777	O02213	reviewed	SER2_CAEEL	Tyramine receptor Ser-2	ser-2 C02D4.2	Caenorhabditis elegans	455
WBGene00004334	G5EEQ5	reviewed	REF1_CAEEL	Regulator of fusion ref-1	ref-1 T01E8.2	Caenorhabditis elegans	367
WBGene00003473	P17511	reviewed	MT1_CAEEL	Metallothionein-1 (MT-1) (Metallothionein-I) (MT-I)	mtl-1 met-1 K11G9.6	Caenorhabditis elegans	75
WBGene00003514	P12845	reviewed	MYO2_CAEEL	Myosin-2 (Myosin heavy chain C) (MHC C)	myo-2 T18D3.4	Caenorhabditis elegans	1947
WBGene00000244	Q23049	reviewed	TTC8_CAEEL	Tetratricopeptide repeat protein 8 (Bardet-Biedl syndrome 8 protein homolog)	bbs-8 T25F10.5	Caenorhabditis elegans	506
WBGene00000481	P32756	reviewed	CLAT_CAEEL	Choline O-acetyltransferase (CHOACTase) (ChAT) (Choline acetylase) (EC 2.3.1.6)	cha-1 ZC416.8	Caenorhabditis elegans	627
WBGene00004130	V6CLP5	reviewed	KETN1_CAEEL	Kettin homolog	ketn-1 let-330 MH44 pqn-43 F54E2.3	Caenorhabditis elegans	4963
