From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q9XW70	Q9XW70	reviewed	BBS7_CAEEL	Bardet-Biedl syndrome 7 protein homolog (Osmotic avoidance abnormal protein 12)	osm-12 bbs-7 Y75B8A.12	Caenorhabditis elegans	721
O18214	O18214	reviewed	MAB3_CAEEL	Protein male abnormal 3	mab-3 Y53C12B.5	Caenorhabditis elegans	290
Q22235	Q22235	reviewed	ENPL1_CAEEL	Endoplasmin homolog	enpl-1 T05E11.3	Caenorhabditis elegans	760
Q19191	Q19191	reviewed	YZ10_CAEEL	Uncharacterized protein F08B12.4	F08B12.4	Caenorhabditis elegans	102
Q8I7F8	Q8I7F8	reviewed	ODR4_CAEEL	Odorant response abnormal protein 4	odr-4 Y102E9.1	Caenorhabditis elegans	475
G5EDU6	G5EDU6	reviewed	OVOLH_CAEEL	Transcription factor ovo-like homolog lin-48 (Abnormal cell lineage protein 48)	lin-48 F34D10.5	Caenorhabditis elegans	280
O02213	O02213	reviewed	SER2_CAEEL	Tyramine receptor Ser-2	ser-2 C02D4.2	Caenorhabditis elegans	455
G5EEQ5	G5EEQ5	reviewed	REF1_CAEEL	Regulator of fusion ref-1	ref-1 T01E8.2	Caenorhabditis elegans	367
P17511	P17511	reviewed	MT1_CAEEL	Metallothionein-1 (MT-1) (Metallothionein-I) (MT-I)	mtl-1 met-1 K11G9.6	Caenorhabditis elegans	75
P12845	P12845	reviewed	MYO2_CAEEL	Myosin-2 (Myosin heavy chain C) (MHC C)	myo-2 T18D3.4	Caenorhabditis elegans	1947
Q23049	Q23049	reviewed	TTC8_CAEEL	Tetratricopeptide repeat protein 8 (Bardet-Biedl syndrome 8 protein homolog)	bbs-8 T25F10.5	Caenorhabditis elegans	506
P32756	P32756	reviewed	CLAT_CAEEL	Choline O-acetyltransferase (CHOACTase) (ChAT) (Choline acetylase) (EC 2.3.1.6)	cha-1 ZC416.8	Caenorhabditis elegans	627
V6CLP5	V6CLP5	reviewed	KETN1_CAEEL	Kettin homolog	ketn-1 let-330 MH44 pqn-43 F54E2.3	Caenorhabditis elegans	4963
G5EE86	G5EE86	reviewed	TTX3_CAEEL	LIM/homeobox protein ttx-3 (Abnormal thermotaxis protein 3)	ttx-3 C40H5.5	Caenorhabditis elegans	409
Q18510	Q18510	reviewed	ARL6_CAEEL	ADP-ribosylation factor-like protein 6	arl-6 C38D4.8	Caenorhabditis elegans	190
Q93833	Q93833	reviewed	CHE13_CAEEL	Intraflagellar transport protein che-13 (Chemotaxis abnormal protein 13)	che-13 F59C6.7	Caenorhabditis elegans	412
Q09609	Q09609	reviewed	YRN9_CAEEL	Uncharacterized protein R07B1.9	R07B1.9	Caenorhabditis elegans	770
P41935	P41935	reviewed	HM10_CAEEL	Homeobox protein ceh-10	ceh-10 W03A3.1	Caenorhabditis elegans	344
Q9U9Y8	Q9U9Y8	reviewed	NLK_CAEEL	Serine/threonine kinase NLK (EC 2.7.11.24) (Loss of intestine protein 1) (Nemo-like kinase)	lit-1 nlk W06F12.1	Caenorhabditis elegans	634
P05690	P05690	reviewed	VIT2_CAEEL	Vitellogenin-2	vit-2 C42D8.2	Caenorhabditis elegans	1613
