From	Entry	Entry Name	Protein names	Gene Names	Gene Ontology IDs
Q6DRI5	Q6DRI5	Q6DRI5_DANRE	deleted		
A0A0G2KXP0	A0A0G2KXP0	A0A0G2KXP0_DANRE	deleted		
Q24JW1	Q9I9L0	HEY2_DANRE	Hairy/enhancer-of-split related with YRPW motif protein 2 (Protein gridlock)	hey2 grl zgc:136746	GO:0000978; GO:0000981; GO:0001568; GO:0001570; GO:0005634; GO:0006357; GO:0007219; GO:0007507; GO:0009952; GO:0035912; GO:0045892; GO:0046983; GO:0048514; GO:0048844; GO:0050767; GO:0060038; GO:0060840; GO:0060853; GO:0072359
A0A0R4ILP3	A0A0R4ILP3	A0A0R4ILP3_DANRE	deleted		
Q9I9L0	Q9I9L0	HEY2_DANRE	Hairy/enhancer-of-split related with YRPW motif protein 2 (Protein gridlock)	hey2 grl zgc:136746	GO:0000978; GO:0000981; GO:0001568; GO:0001570; GO:0005634; GO:0006357; GO:0007219; GO:0007507; GO:0009952; GO:0035912; GO:0045892; GO:0046983; GO:0048514; GO:0048844; GO:0050767; GO:0060038; GO:0060840; GO:0060853; GO:0072359
F1QUS9	F1QUS9	F1QUS9_DANRE	Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)	usp7	GO:0004197; GO:0004843; GO:0005634; GO:0005829; GO:0006511; GO:0016579; GO:0031647; GO:1904888
A0A2R8QMX9	A0A2R8QMX9	A0A2R8QMX9_DANRE	deleted		
F1QSH8	F1QSH8	F1QSH8_DANRE	deleted		
F1QAC4	F1QAC4	F1QAC4_DANRE	GLI family zinc finger 1 (Zinc finger protein GLI1)	gli1	GO:0000785; GO:0000978; GO:0000981; GO:0005634; GO:0006355; GO:0006357; GO:0007224; GO:0007420; GO:0021508; GO:0021521; GO:0021532; GO:0021545; GO:0021559; GO:0021560; GO:0021561; GO:0021563; GO:0021564; GO:0021731; GO:0021742; GO:0021754; GO:0021983; GO:0021984; GO:0030182; GO:0031290; GO:0035301; GO:0042476; GO:0042694; GO:0045880; GO:0045944; GO:0048699; GO:0048855; GO:0050767
Q6PUR9	Q803I4	RING2_DANRE	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	rnf2 ring1b	GO:0000122; GO:0000151; GO:0003682; GO:0005634; GO:0005694; GO:0005737; GO:0007417; GO:0031519; GO:0032330; GO:0033339; GO:0035102; GO:0035518; GO:0040029; GO:0046872; GO:0048484; GO:0048701; GO:0060042; GO:0061630; GO:0071339; GO:0140862; GO:1902254; GO:1905292; GO:1905295
B7ZUU4	B7ZUU4	B7ZUU4_DANRE	deleted		
Q803I4	Q803I4	RING2_DANRE	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	rnf2 ring1b	GO:0000122; GO:0000151; GO:0003682; GO:0005634; GO:0005694; GO:0005737; GO:0007417; GO:0031519; GO:0032330; GO:0033339; GO:0035102; GO:0035518; GO:0040029; GO:0046872; GO:0048484; GO:0048701; GO:0060042; GO:0061630; GO:0071339; GO:0140862; GO:1902254; GO:1905292; GO:1905295
Q9PTH4	Q803I4	RING2_DANRE	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	rnf2 ring1b	GO:0000122; GO:0000151; GO:0003682; GO:0005634; GO:0005694; GO:0005737; GO:0007417; GO:0031519; GO:0032330; GO:0033339; GO:0035102; GO:0035518; GO:0040029; GO:0046872; GO:0048484; GO:0048701; GO:0060042; GO:0061630; GO:0071339; GO:0140862; GO:1902254; GO:1905292; GO:1905295
