"protein","relType","goTerm","goName","namespace","neverAnnotate"
"BSU_00010","enables","GO:0003688","DNA replication origin binding","molecular_function","false"
"BSU_00010","enables","GO:0016887","ATP hydrolysis activity","molecular_function","false"
"BSU_00010","involved_in","GO:0006275","regulation of DNA replication","biological_process","false"
"BSU_00010","located_in","GO:0005737","cytoplasm","cellular_component","false"
"BSU_00010","enables","GO:0005524","ATP binding","molecular_function","false"
"BSU_00010","enables","GO:0003677","DNA binding","molecular_function","false"
"BSU_00010","enables","GO:0005515","protein binding","molecular_function","false"
"BSU_00010","part_of","GO:1990101","DnaA-oriC complex","cellular_component","false"
"BSU_00010","involved_in","GO:0006270","DNA replication initiation","biological_process","false"
"BSU_00010","involved_in","GO:0006260","DNA replication","biological_process","false"
"BSU_00010","enables","GO:0042802","identical protein binding","molecular_function","false"
"BSU_00010","is_active_in","GO:0005886","plasma membrane","cellular_component","false"
"BSU_40970","involved_in","GO:0030435","sporulation resulting in formation of a cellular spore","biological_process","false"
"BSU_40970","enables","GO:0016887","ATP hydrolysis activity","molecular_function","false"
"BSU_40970","enables","GO:0005524","ATP binding","molecular_function","false"
"BSU_40970","enables","GO:0016787","hydrolase activity","molecular_function","false"
"BSU_40970","enables","GO:0005515","protein binding","molecular_function","false"
"BSU_40970","involved_in","GO:0042174","negative regulation of sporulation resulting in formation of a cellular spore","biological_process","false"
"BSU_41050","enables","GO:0042781","3'-tRNA processing endoribonuclease activity","molecular_function","false"
"BSU_41050","part_of","GO:0030677","ribonuclease P complex","cellular_component","false"
"BSU_41050","enables","GO:0004526","ribonuclease P activity","molecular_function","false"
"BSU_41050","enables","GO:0003677","DNA binding","molecular_function","false"
"BSU_41050","enables","GO:0043168","anion binding","molecular_function","false"
"BSU_41050","enables","GO:0042301","phosphate ion binding","molecular_function","false"
"BSU_41050","enables","GO:0043199","sulfate binding","molecular_function","false"
"BSU_41050","involved_in","GO:0042780","tRNA 3'-end processing","biological_process","false"
"BSU_41050","enables","GO:0033204","ribonuclease P RNA binding","molecular_function","false"
"BSU_41050","enables","GO:0031404","chloride ion binding","molecular_function","false"
"BSU_41050","enables","GO:0060090","molecular adaptor activity","molecular_function","false"
"BSU_41050","involved_in","GO:0001682","tRNA 5'-leader removal","biological_process","false"
"BSU_41050","involved_in","GO:0008033","tRNA processing","biological_process","false"
"BSU_41050","enables","GO:0000049","tRNA binding","molecular_function","false"
"BSU_41050","enables","GO:0004519","endonuclease activity","molecular_function","false"
"BSU_41050","enables","GO:0003723","RNA binding","molecular_function","false"
"BSU_29090","involved_in","GO:0006302","double-strand break repair","biological_process","false"
"BSU_29090","enables","GO:0003887","DNA-directed DNA polymerase activity","molecular_function","false"
"BSU_29090","enables","GO:0140640","catalytic activity, acting on a nucleic acid","molecular_function","false"
"BSU_29090","involved_in","GO:0006260","DNA replication","biological_process","false"
"BSU_29090","involved_in","GO:0071897","DNA biosynthetic process","biological_process","false"
"BSU_29090","enables","GO:0003677","DNA binding","molecular_function","false"
"BSU_29090","enables","GO:0008408","3'-5' exonuclease activity","molecular_function","false"
"BSU_29090","enables","GO:0016788","hydrolase activity, acting on ester bonds","molecular_function","false"
"BSU_29090","enables","GO:0008409","5'-3' exonuclease activity","molecular_function","false"
"BSU_29090","involved_in","GO:0006281","DNA repair","biological_process","false"
"BSU_29090","involved_in","GO:0006261","DNA-templated DNA replication","biological_process","false"
"BSU_29090","enables","GO:0004527","exonuclease activity","molecular_function","false"
"BSU_40440","involved_in","GO:0006268","DNA unwinding involved in DNA replication","biological_process","false"
"BSU_40440","is_active_in","GO:0005829","cytosol","cellular_component","false"
"BSU_40440","enables","GO:0003678","DNA helicase activity","molecular_function","false"
"BSU_40440","enables","GO:0005515","protein binding","molecular_function","false"
"BSU_40440","enables","GO:0005524","ATP binding","molecular_function","false"
"BSU_40440","involved_in","GO:0006269","DNA replication, synthesis of primer","biological_process","false"
"BSU_40440","enables","GO:0016787","hydrolase activity","molecular_function","false"
"BSU_40440","enables","GO:0016887","ATP hydrolysis activity","molecular_function","false"
"BSU_40440","involved_in","GO:0006260","DNA replication","biological_process","false"
"BSU_40440","enables","GO:0004386","helicase activity","molecular_function","false"
"BSU_40440","enables","GO:0003677","DNA binding","molecular_function","false"
"BSU_40440","part_of","GO:1990077","primosome complex","cellular_component","false"
"BSU_28990","involved_in","GO:0006260","DNA replication","biological_process","false"
"BSU_28990","enables","GO:0005515","protein binding","molecular_function","false"
"BSU_28990","enables","GO:0003677","DNA binding","molecular_function","false"
"BSU_28990","part_of","GO:1990077","primosome complex","cellular_component","false"
"BSU_28990","enables","GO:0005524","ATP binding","molecular_function","false"
"BSU_28990","involved_in","GO:0006269","DNA replication, synthesis of primer","biological_process","false"
"BSU_40960","enables","GO:0003677","DNA binding","molecular_function","false"
"BSU_40960","involved_in","GO:0030435","sporulation resulting in formation of a cellular spore","biological_process","false"
"BSU_40960","part_of","GO:0043590","bacterial nucleoid","cellular_component","false"
"BSU_40960","involved_in","GO:0045881","positive regulation of sporulation resulting in formation of a cellular spore","biological_process","false"
"BSU_40960","is_active_in","GO:0005694","chromosome","cellular_component","false"
