string_protein_id	preferred_name	protein_size	annotation
224308.BSU00010	dnaA	446	Chromosomal replication initiator protein DnaA; Plays an important role in the initiation and regulation of chromosomal replication. Binds to the origin of replication; it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box): 5'- TTATC[CA]A[CA]A-3'. DnaA binds to ATP and to acidic phospholipids. DnaA can inhibit its own gene expression as well as that of other genes.
224308.BSU00020	dnaN	378	DNA polymerase III (beta subunit); Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP- independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria; Pol III exhibits 3'-5' exonuclease proofreading activity. The beta chain is required for initiation o [...] 
224308.BSU00030	yaaA	71	Putative RNA binding protein; May assist in the assembly of the 50S subunit.
224308.BSU00040	recF	370	DNA repair and genetic recombination factor; The RecF protein is involved in DNA metabolism; it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP. Is recruited to repair centers, foci that are the site of double- strand DNA break(s) after RecN and RecO; recruitment may depend on RecO.
224308.BSU00050	yaaB	81	Conserved hypothetical protein; Regulates the biosynthesis of the extracellular matrix and the biofilm formation. May act as an enhancer of biofilm gene expression. Acts in parallel to the pathway that governs SinR derepression.
224308.BSU00060	gyrB	638	DNA gyrase (subunit B); A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner.
224308.BSU00070	gyrA	821	DNA gyrase (subunit A); A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner.
224308.BSU00080	yaaC	315	Conserved hypothetical protein; Evidence 4: Homologs of previously reported genes of unknown function.
224308.BSU00090	guaB	488	Inosine-monophosphate dehydrogenase; Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate-limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth.
224308.BSU00100	dacA	443	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5); Removes C-terminal D-alanyl residues from sugar-peptide cell wall precursors; Belongs to the peptidase S11 family.
224308.BSU00110	pdxS	294	Glutamine amidotransferase for pyridoxal phosphate synthesis; Catalyzes the formation of pyridoxal 5'-phosphate from ribose 5-phosphate (RBP), glyceraldehyde 3-phosphate (G3P) and ammonia. The ammonia is provided by the PdxT subunit. Can also use ribulose 5- phosphate and dihydroxyacetone phosphate as substrates, resulting from enzyme-catalyzed isomerization of RBP and G3P, respectively.
224308.BSU00120	pdxT	196	Glutamine amidotransferase for pyridoxal phosphate synthesis; Catalyzes the hydrolysis of glutamine to glutamate and ammonia as part of the biosynthesis of pyridoxal 5'-phosphate. The resulting ammonia molecule is channeled to the active site of PdxS.
224308.BSU00130	serS	425	seryl-tRNA synthetase; Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L- seryl-tRNA(Sec), which will be further converted into selenocysteinyl- tRNA(Sec).
224308.BSU00140	dck	217	Deoxyadenosine/deoxycytidine kinase; Plays an essential role in generating the deoxyribonucleotide precursors dATP AND dCTP for DNA metabolism. The phosphate acceptor specificity is strict toward deoxyadenosine (dAdo) and deoxycytidine (dCyd). The specificity toward the sugar moiety of the nucleoside is less strict. Both 2-deoxyribose, ribose, and arabinose nucleosides are phosphorylated, although the 2-deoxyribonucleosides are preferred. The phosphate donor specificity is dependent on the deoxyribonucleoside substrate, but GTP is efficient with both deoxycytidine and deoxyadenosine. O [...] 
224308.BSU00150	dgk	207	Deoxyguanosine kinase; Plays an essential role in generating the deoxyribonucleotide precursors dGTP for DNA metabolism. Highly specific toward deoxyguanosine (dGuo) and deoxyinosine (dIno). Only marginal activity is observed with guanosine. UTP is slightly more efficient as phosphate donor than CTP, ATP and GTP.
224308.BSU00160	yaaH	427	Spore peptidoglycan hydrolase; N-acetylglucosaminidase involved in cortex peptidoglycan degradation during germination. Cleaves only partially degraded spore peptidoglycans. Recognizes muramic acid delta-lactam residues specific to spore peptidoglycans.
224308.BSU00170	yaaI	181	Putative isochorismatase; Evidence 3: Function proposed based on presence of conserved amino acid motif, structural feature or limited homology; putative enzyme; Belongs to the isochorismatase family.
224308.BSU00180	tadA	161	tRNA specific adenosine deaminase; Catalyzes the deamination of adenosine to inosine at the wobble position 34 of tRNA(Arg2); Belongs to the cytidine and deoxycytidylate deaminase family.
224308.BSU00190	dnaX	563	DNA polymerase III (gamma and tau subunits); DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria.
