id	locus	title	strain	description	mw	pI	proteinLength	geneLength	function	product	essential	ec	synonyms	outlinks->bsu	outlinks->bsupath	outlinks->uniprot	outlinks->subtilist	Gene->Coordinates	cog
000E237B00539E6850B6A50EE01BA02844B6ACBC	BSU_17890	tkt	168	transketolase	72.1632	4.8	667	2004	pentose phosphate pathway	transketolase	no	2.2.1.1	tkt, tktA	BSU_17890	tkt_1919861_1921864_1	P45694	gene_detail BG11247	1,919,861 1,921,864	COG0021
001BF5429FA86D39BC64447929BC20FCBD988C69	BSU_20290	yorQ	168	unknown	5.8183	8.59	51	156	unknown	unknown	no	null	yorQ	BSU_20290	yorQ_2173956_2174111_-1	O31897	gene_detail+BG13701	2,173,956  2,174,111	
0021EF5F0934B4D6A1A52C5B34B36D135E6D8CE8	BSU_21700	ypoP	168	similar to transcriptional regulator ([wiki|MarR family])	16.7242	9.26	141	426	unknown	unknown	no		ypoP	BSU_21700	ypoP_2288194_2288619_1	P54182	gene_detail+BG11626	2,288,194  2,288,619	COG1846
002AB675506D7A5F238A703DEE2EE1E0DE1F2900	BSU_39850	yxbF	168	similar to transcriptional regulator ([wiki|TetR family])	44.1239	6.89	380	1143	unknown	unknown	no		yxbF, yxaT	BSU_39850	yxbF_4092695_4093837_-1	P46330	gene_detail+BG11356	4,092,695  4,093,837	COG1309
003047E90159765F9F0E499FD760F95FFF4AC360	BSU_15640	rqcH	168	ribosome-associated protein quality control factor, selects tRNA<sup>Ala</sup> during RQC elongation	65.3006	8.98	572	1719	rescue of stalled ribosomes	ribosome-associated protein quality control factor	no		rqcH, yloA	BSU_15640	yloA_1636131_1637849_-1	O34693	gene_detail+BG13383	1,636,131  1,637,849	COG1293
0037A6808E75C2A2E207A7005EFDA71FCE90BAD8	BSU_02950	niaP	168	nicotinate transporter	43.5487	9.5	400	1203	uptake of niacin	nicotinate transporter	no		niaP, yceI	BSU_02950	yceI_317725_318927_1	O34691	gene_detail BG12773	317,725  318,927	COG2814
0056478385A2ABFEF9CB17D2E6290AC71E6B3891	new_4047463_4047537	S1517	168	new RNA feature, intergenic region				75		intergenic region			S1517	new_4047463_4047537	S1517_4047463_4047537_1			4,047,463 → 4,047,537	
005D37F34CA3D6891F7D8FF7A2AFA1CBCB556FFE	BSU_01650	namZ	168	exo-β-N-acetylmuramidase	45.8739	7.37	414	1245	cell wall turnover and recycling	exo-β-N-acetylmuramidase	no		ybbC, yzbB	BSU_01650	ybbC_185194_186438_-1	P40407	gene_detail+BG10833	185,194  186,438	COG3876
00798BB5A769C464CC5FDDF7D9E41D30B473B9A8	BSU_00390	yabD	168	putative metal-dependent hydrolase	29.0812	4.81	255	768	unknown	putative metal-dependent hydrolase	no		yabD	BSU_00390	yabD_47706_48473_1	P37545	gene_detail+BG10102	47,706  48,473	COG0084
0088EB2863FEC9E911332A8D9CDEB91D2A574FFA	BSU_17540	ynaF	168	unknown	13.4261	4.01	117	354	unknown	unknown	no	null	ynaF	BSU_17540	ynaF_1884968_1885321_1	P94484	gene_detail+BG12258	1,884,968  1,885,321	
0098E3A710385B31987947E6206A89000CA32F55	new_4164565_4165231	S1559	168	antisense RNA to [[gene|9B624751E8BD3EA616B4B50633A558F4CE032E2C]]	0	0		667	control of [[gene|9B624751E8BD3EA616B4B50633A558F4CE032E2C]] expression	antisense RNA to [[gene|9B624751E8BD3EA616B4B50633A558F4CE032E2C]]		null	S1559	new_4164565_4165231	S1559_4164565_4165231_1			4,164,565 → 4,165,231	
00994D9EB7ACCF9CC9DD16915409751C7A688D52	new_2195060_2195563_c	S777	168	new RNA feature, intergenic region	0	0		504		intergenic region		null	S777	new_2195060_2195563_c				2,195,060 → 2,195,563	
009BB4460A9374A8259DE7BD05724467198E0A90	BSU_05344	ydzS/2	168	part of the ydzS pseudogene	0	0	37	114	unknown	unknown	-	null	ydzS/2	BSU_05344				581,341  581,454	
00A19F2D960FAD4A6DA34D027828E1135A3BE218	BSU_07180	yezB	168	split paralog of [[protein|621357D1FB6AC1B0499732EFE226F982B26CE34E]] (with [[protein|778B0E3A524EFE38DE3917FA69F21563D525D1DA]])	0	0	99	297	possible stressosome protein	split paralog of [[protein|621357D1FB6AC1B0499732EFE226F982B26CE34E]] (with [[protein|778B0E3A524EFE38DE3917FA69F21563D525D1DA]])	no		yezB	BSU_07180			gene_detail+BG12873	787,264 → 787,560	
00A42FDB559BE2647CD682180420A435E2E7035F	BSU_29780	facZ	168	Firmicute-associated coordinator of Z-rings, general stress protein	15.6007	9.98	140	423	control of division site placement	coordinator of Z-rings	no		ytxG, csb40	BSU_29780	ytxG_3047593_3048015_-1	P40779	gene_detail BG10974	3,047,593  3,048,015	COG4768
00A4A90685CED4AD46829C45718CF26F1D62F5D3	BSU_05810	gmuB	168	glucomannan-specific permease of the [wiki|phosphotransferase systems|phosphotransferase system], EIIB of the [[category|SW.1.2.2|PTS]]	11.3038	4.72	103	312	glucomannan uptake and phosphorylation	glucomannan-specific lichenan-specific [[category|SW.1.2.2|PTS]], EIIB component	no		gmuB, ydhM	BSU_05810	gmuB_626622_626933_1	O05505	gene_detail+BG12190	626,622  626,933	COG1440
00A6C1AD9D27E900133E0F9007C76E1812C3A2AA	BSU_33870	yvbI	168	unknown	25.606	7.76	232	699	unknown	unknown	no		yvbI	BSU_33870	yvbI_3473372_3474070_1	O32246	gene_detail BG14082	3,473,372  3,474,070	
00B4CA4E25858A56F9D4E0ADEE2643F203FEC613	BSU_16770	dapA	168	dihydrodipicolinate synthase	30.8892	4.93	290	873	biosynthesis of lysine and peptidoglycan	dihydrodipicolinate synthase	yes	4.2.1.52	dapA	BSU_16770	dapA_1748368_1749240_1	Q04796	gene_detail BG10785	1,748,368  1,749,240	COG0329
00BCAAE16576DC5426A652580C69A570FC7A1C2C	BSU_08730	perR	168	transcriptional repressor of the peroxide regulon, sensor of the intracellular Fe/Mn ratio	16.2815	5.89	145	438	regulation of the response to peroxide	transcriptional repressor ([wiki|Fur family])	no		perR, ygaG	BSU_08730	perR_944487_944924_1	P71086	gene_detail BG12227	944,487  944,924	COG0735
00BDD4E3370DB3A9F4D75FE265A2A8DF05185CCC	BSU_24360	spoIIIAH	168	component of the [[protein|SpoIIIA]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the forespore membrane, required for [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]] activation	23.5849	4.63	218	657	activation of [[protein|5F24258282F3166B7696B9E9ABC1706E4D06C944]], forespore encasement by the spore coat	part of the transmembrane channel linking the mother cell and the forespore	no		spoIIIAH	BSU_24360	spoIIIAH_2532353_2533009_-1	P49785	gene_detail BG11415	2,532,353  2,533,009	COG5829
00CF2A4EDFB3F294B61AFD87E782B4CF95E42763	new_3582691_3582779_c	S1330	168	new RNA feature, 5'UTR of yvcA	0	0		89		5'UTR of yvcA		null	S1330	new_3582691_3582779_c				3,582,691 → 3,582,779	
00E18FA53BD5DC6FAEEF2F3C2E5DC66F34C9B29D	new_1603712_1603778	S563	168	new RNA feature, 5'UTR of spoIIGA	0	0		67		5'UTR of spoIIGA		null	S563	new_1603712_1603778	S563_1603712_1603778_1			1,603,712 → 1,603,778	
00E1BA27A59452CCE7E5AD95513FC0B3353E9729	BSU_02710	yczC	168	unknown	13.8097	10.13	127	384	unknown	unknown	no	null	yczC	BSU_02710	yczC_292881_293264_-1	O31469	gene_detail+BG12778	292,881  293,264	COG1714
00E354BDFAF1AB05538B0DB8C4F8216855189A8C	new_1369127_1369854_c	S464	168	new RNA feature, 3'UTR of ykgB	0	0		728		3'UTR of ykgB		null	S464	new_1369127_1369854_c				1,369,127 → 1,369,854	
00EA4A93E898A531A075DCC1C2948086DFD31FBA	new_1041710_1041809_c	S336	168	new RNA feature, 5'UTR of yheN	0	0		100		5'UTR of yheN		null	S336	new_1041710_1041809_c				1,041,710 → 1,041,809	
00F319EEC8420F859BA2657B9D4D1281853A94BD	BSU_40480	yycB	168	similar to permeases	43.0244	10.5	402	1209	unknown	unknown	no		yycB	BSU_40480	yycB_4159790_4160998_1	P37482	gene_detail+BG10007	4,159,790  4,160,998	COG2807
010C64CC0257DEA32B1BC97C3B130CCD096C880F	new_1041733_1041928	S337	168	new RNA feature, 5'UTR of dat	0	0		196		5'UTR of dat		null	S337	new_1041733_1041928	S337_1041733_1041928_1			1,041,733 → 1,041,928	
011017A2C4F342B52293588CFC661BF46181A8E6	new_1268593_1268828	S435	168	new RNA feature, intergenic region	0	0		236		intergenic region		null	S435	new_1268593_1268828	S435_1268593_1268828_1			1,268,593 → 1,268,828	
013548BF11BC7848692FFD20A9BEE43DE08A5334	new_3386852_3387780_c	S1270	168	new RNA feature, 3'UTR of yirB	0	0		929		3'UTR of yirB		null	S1270	new_3386852_3387780_c				3,386,852 → 3,387,780	
