"protein","relType","goTerm","goName","namespace","neverAnnotate"
"Q1LX78","acts_upstream_of_or_within","GO:0002679","respiratory burst involved in defense response","biological_process","false"
"Q1LX78","acts_upstream_of_or_within","GO:0030217","T cell differentiation","biological_process","false"
"Q1LX78","involved_in","GO:0050891","multicellular organismal-level water homeostasis","biological_process","false"
"Q1LX78","enables","GO:0042626","ATPase-coupled transmembrane transporter activity","molecular_function","false"
"Q1LX78","located_in","GO:0005886","plasma membrane","cellular_component","false"
"Q1LX78","enables","GO:0005524","ATP binding","molecular_function","false"
"Q1LX78","involved_in","GO:0006821","chloride transport","biological_process","false"
"Q1LX78","involved_in","GO:0035377","transepithelial water transport","biological_process","false"
"Q1LX78","involved_in","GO:0055085","transmembrane transport","biological_process","false"
"Q1LX78","located_in","GO:0005768","endosome","cellular_component","false"
"Q1LX78","acts_upstream_of_or_within","GO:0031016","pancreas development","biological_process","false"
"Q1LX78","involved_in","GO:0006811","monoatomic ion transport","biological_process","false"
"Q1LX78","located_in","GO:0031901","early endosome membrane","cellular_component","false"
"Q1LX78","involved_in","GO:1904322","cellular response to forskolin","biological_process","false"
"Q1LX78","acts_upstream_of_or_within","GO:0042742","defense response to bacterium","biological_process","false"
"Q1LX78","involved_in","GO:0070121","Kupffer's vesicle development","biological_process","false"
"Q1LX78","involved_in","GO:0034220","monoatomic ion transmembrane transport","biological_process","false"
"Q1LX78","located_in","GO:0005829","cytosol","cellular_component","false"
"Q1LX78","located_in","GO:0055038","recycling endosome membrane","cellular_component","false"
"Q1LX78","acts_upstream_of_or_within","GO:0060063","Spemann organizer formation at the embryonic shield","biological_process","false"
"Q1LX78","located_in","GO:0005789","endoplasmic reticulum membrane","cellular_component","false"
"Q1LX78","involved_in","GO:0015701","bicarbonate transport","biological_process","false"
"Q1LX78","acts_upstream_of_or_within","GO:0045087","innate immune response","biological_process","false"
"Q1LX78","enables","GO:0000166","nucleotide binding","molecular_function","false"
"Q1LX78","enables","GO:0016853","isomerase activity","molecular_function","false"
"Q1LX78","enables","GO:0005254","chloride channel activity","molecular_function","false"
"Q1LX78","located_in","GO:0005783","endoplasmic reticulum","cellular_component","false"
"Q1LX78","acts_upstream_of_or_within","GO:0090022","regulation of neutrophil chemotaxis","biological_process","false"
"Q1LX78","part_of","GO:0034707","chloride channel complex","cellular_component","false"
"Q1LX78","located_in","GO:0016324","apical plasma membrane","cellular_component","false"
"Q1LX78","involved_in","GO:0007507","heart development","biological_process","false"
"Q1LX78","enables","GO:0140359","ABC-type transporter activity","molecular_function","false"
"Q1LX78","acts_upstream_of_or_within","GO:0035162","embryonic hemopoiesis","biological_process","false"
"Q1LX78","enables","GO:0005260","intracellularly ATP-gated chloride channel activity","molecular_function","false"
"Q1LX78","involved_in","GO:1902476","chloride transmembrane transport","biological_process","false"
"Q1LX78","enables","GO:0015106","bicarbonate transmembrane transporter activity","molecular_function","false"
"Q1LX78","enables","GO:0016887","ATP hydrolysis activity","molecular_function","false"
"Q1LX78","located_in","GO:0016020","membrane","cellular_component","false"
"Q1LX78","acts_upstream_of_or_within","GO:0008354","germ cell migration","biological_process","false"
"Q1LX78","acts_upstream_of_or_within","GO:0097535","lymphoid lineage cell migration into thymus","biological_process","false"
"Q98867","enables","GO:0043565","sequence-specific DNA binding","molecular_function","false"
"Q98867","enables","GO:0008270","zinc ion binding","molecular_function","false"
"Q98867","located_in","GO:0005634","nucleus","cellular_component","false"
"Q98867","enables","GO:0003700","DNA-binding transcription factor activity","molecular_function","false"
"Q98867","enables","GO:0005515","protein binding","molecular_function","false"
"Q98867","involved_in","GO:0045892","negative regulation of DNA-templated transcription","biological_process","false"
"Q98867","involved_in","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process","false"
"Q98867","involved_in","GO:0045893","positive regulation of DNA-templated transcription","biological_process","false"
"Q98867","acts_upstream_of_or_within","GO:0014032","neural crest cell development","biological_process","false"
"Q98867","acts_upstream_of_or_within","GO:0007507","heart development","biological_process","false"
"Q98867","acts_upstream_of_or_within","GO:0021591","ventricular system development","biological_process","false"
"Q98867","involved_in","GO:0006355","regulation of DNA-templated transcription","biological_process","false"
"Q98867","acts_upstream_of_or_within","GO:0060298","positive regulation of sarcomere organization","biological_process","false"
"Q98867","enables","GO:0004879","nuclear receptor activity","molecular_function","false"
"Q98867","enables","GO:0003677","DNA binding","molecular_function","false"
"Q98867","involved_in","GO:0002154","thyroid hormone receptor signaling pathway","biological_process","false"
"Q98867","acts_upstream_of_or_within","GO:0009725","response to hormone","biological_process","false"
"Q98867","enables","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","molecular_function","false"
"Q98867","involved_in","GO:0030154","cell differentiation","biological_process","false"
"Q98867","enables","GO:0046872","metal ion binding","molecular_function","false"
"Q98867","involved_in","GO:0048384","retinoic acid receptor signaling pathway","biological_process","false"
"Q98867","involved_in","GO:0000122","negative regulation of transcription by RNA polymerase II","biological_process","false"
"Q90415","enables","GO:0008270","zinc ion binding","molecular_function","false"
"Q90415","enables","GO:0003700","DNA-binding transcription factor activity","molecular_function","false"
"Q90415","enables","GO:0003677","DNA binding","molecular_function","false"
"Q90415","involved_in","GO:0030154","cell differentiation","biological_process","false"
"Q90415","involved_in","GO:0043401","steroid hormone receptor signaling pathway","biological_process","false"
"Q90415","involved_in","GO:0048384","retinoic acid receptor signaling pathway","biological_process","false"
"Q90415","located_in","GO:0005634","nucleus","cellular_component","false"
"Q90415","enables","GO:0044323","retinoic acid-responsive element binding","molecular_function","false"
"Q90415","involved_in","GO:0032526","response to retinoic acid","biological_process","false"
"Q90415","involved_in","GO:0006355","regulation of DNA-templated transcription","biological_process","false"
"Q90415","part_of","GO:0090575","RNA polymerase II transcription regulator complex","cellular_component","false"
"Q90415","involved_in","GO:0045944","positive regulation of transcription by RNA polymerase II","biological_process","false"
"Q90415","enables","GO:0043565","sequence-specific DNA binding","molecular_function","false"
"Q90415","involved_in","GO:0000122","negative regulation of transcription by RNA polymerase II","biological_process","false"
"Q90415","enables","GO:0003707","nuclear steroid receptor activity","molecular_function","false"
